endorser_key,endorser,party,method
cecil dolecheck,Cecil Dolecheck,R,wikipedia categories
cecil thomas politician,Cecil Thomas,D,wikipedia categories
cedric ross hayden,Cedric Hayden,R,wikipedia categories
cedrick frazier,Cedrick Frazier,D,wikipedia categories
celeste maloy,Celeste Maloy,R,descriptor+roster
chad caldwell,Chad Caldwell,R,wikipedia categories
charles boustany,Charles Boustany,R,descriptor+roster
charles d lavine,Charles D. Lavine,D,wikipedia categories
charles isenhart,Chuck Isenhart,D,wikipedia categories
charles lavine,Charles Lavine,D,wikipedia categories
charles mccall,Charles McCall,R,wikipedia categories
charles meier,Charles Meier,R,wikipedia categories
charles p pray,Charles P. Pray,D,wikipedia categories
charles rangel,Charles Rangel,D,descriptor+roster
charles taylor north carolina politician,Charles Taylor,R,descriptor+roster
charlie crist,Charlie Crist,D,descriptor+roster
charlie dent,Charlie Dent,R,descriptor+roster
charlie melancon,Charlie Melançon,D,wikipedia categories
charlie stone politician,Charlie Stone,R,wikipedia categories
chellie pingree,Chellie Pingree,D,descriptor+roster
cherelle parker,Cherelle Parker,D,wikipedia categories
cheri bustos,Cheri Bustos,D,descriptor+roster
cheryl acton,Cheryl Acton,R,wikipedia categories
cheryl kagan,Cheryl Kagan,D,wikipedia categories
chester a gerlach,Chester Gerlach,D,wikipedia categories
chester g atkins,Chester Atkins,D,descriptor+roster
chip curry,Chip Curry,D,wikipedia categories
chip huggins,Chip Huggins,R,wikipedia categories
chip limehouse,Chip Limehouse,R,wikipedia categories
chip roy,Chip Roy,R,descriptor+roster
chris blackshear,Chris Blackshear,R,wikipedia categories
chris carney,Chris Carney,D,descriptor+roster
chris coons,Chris Coons,D,descriptor+roster
chris danou,Chris Danou,D,wikipedia categories
chris deluzio,Chris Deluzio,D,descriptor+roster
chris dodd,Chris Dodd,D,descriptor+roster
chris erwin,Chris Erwin,R,wikipedia categories
chris giunchigliani,Chris Giunchigliani,D,wikipedia categories
chris hall politician,Chris Hall,D,wikipedia categories
chris jacobs politician,Chris Jacobs,R,descriptor+roster
chris john politician,Chris John,D,descriptor+roster
chris kannady,Chris Kannady,R,wikipedia categories
chris larson,Chris Larson,D,wikipedia categories
chris murphy,Chris Murphy,D,descriptor+roster
chris pappas american politician,Chris Pappas,D,descriptor+roster
chris rabb,Chris Rabb,D,wikipedia categories
chris sells,Chris Sells,R,wikipedia categories
chris smith new jersey politician,Chris Smith,R,descriptor+roster
chris stewart utah politician,Chris Stewart,R,descriptor+roster
chris van hollen,Chris Van Hollen,D,descriptor+roster
chris welch politician,Chris Welch,D,wikipedia categories
chris wooten,Chris Wooten,R,wikipedia categories
chrissy houlahan,Chrissy Houlahan,D,descriptor+roster
christal lloyd,Christal Lloyd,D,wikipedia categories
christina morales,Christina Morales,D,wikipedia categories
christine barber,Christine Barber,D,wikipedia categories
christine erickson,Christine Erickson,R,wikipedia categories
christine gregoire,Christine Gregoire,D,wikipedia categories
christine kehoe,Christine Kehoe,D,wikipedia categories
christine rolfes,Christine Rolfes,D,wikipedia categories
christine sinicki,Christine Sinicki,D,wikipedia categories
christine todd whitman,Christine Todd Whitman,R,wikipedia categories
christine watkins,Christine Watkins,R,wikipedia categories
christopher markey,Christopher Markey,D,wikipedia categories
christopher s friend,Christopher S. Friend,R,wikipedia categories
chuck benedict,Chuck Benedict,D,wikipedia categories
chuck calvert,Chuck Calvert,R,wikipedia categories
chuck efstration,Chuck Efstration,R,wikipedia categories
chuck fleischmann,Chuck Fleischmann,R,descriptor+roster
chuck grassley,Chuck Grassley,R,descriptor+roster
chuck hufstetler,Chuck Hufstetler,R,wikipedia categories
chuck martin politician,Chuck Martin,R,wikipedia categories
chuck schumer,Chuck Schumer,D,descriptor+roster
chuy garcia,Chuy García,D,descriptor+roster
cindy axne,Cindy Axne,D,descriptor+roster
cindy creem,Cindy Creem,D,wikipedia categories
cindy hyde smith,Cindy Hyde-Smith,R,descriptor+roster
cindy winckler,Cindy Winckler,D,wikipedia categories
ciro rodriguez,Ciro Rodriguez,D,descriptor+roster
clarke tucker,Clarke Tucker,D,wikipedia categories
claudia tenney,Claudia Tenney,R,descriptor+roster
claudine schneider,Claudine Schneider,R,wikipedia categories
clay higgins,Clay Higgins,R,descriptor+roster
clay scofield,Clay Scofield,R,wikipedia categories
clay yarborough,Clay Yarborough,R,wikipedia categories
