endorser_key,endorser,party,method
mark udall,Mark Udall,D,descriptor+roster
mark warner,Mark Warner,D,descriptor+roster
mark white texas politician,Mark White,D,wikipedia categories
marko liias,Marko Liias,D,wikipedia categories
markwayne mullin,Markwayne Mullin,R,descriptor+roster
marlin stutzman,Marlin Stutzman,R,descriptor+roster
marsha blackburn,Marsha Blackburn,R,descriptor+roster
martha fuller clark,Martha Fuller Clark,D,wikipedia categories
martha g scott,Martha Scott,D,wikipedia categories
martha layne collins,Martha Layne Collins,D,wikipedia categories
martin chavez,Martin Chávez,D,wikipedia categories
martin heinrich,Martin Heinrich,D,descriptor+roster
martin j schreiber,Martin Schreiber,D,wikipedia categories
martin momtahan,Martin Momtahan,R,wikipedia categories
martin o malley,Martin O'Malley,D,wikipedia categories
marty harbin,Marty Harbin,R,wikipedia categories
marty markowitz,Marty Markowitz,D,wikipedia categories
marty moylan,Marty Moylan,D,wikipedia categories
marty quinn oklahoma politician,Marty Quinn,R,wikipedia categories
marty walsh,Marty Walsh,D,wikipedia categories
marvin e holmes jr,Marvin E. Holmes Jr.,D,wikipedia categories
mary bono,Mary Bono,R,descriptor+roster
mary gay scanlon,Mary Gay Scanlon,D,descriptor+roster
mary jo daley,Mary Jo Daley,D,wikipedia categories
mary jo kilroy,Mary Jo Kilroy,D,descriptor+roster
mary keefe,Mary Keefe,D,wikipedia categories
mary mascher,Mary Mascher,D,wikipedia categories
mary miller politician,Mary Miller,R,descriptor+roster
mary nolan politician,Mary Nolan,D,wikipedia categories
mary rose oakar,Mary Rose Oakar,D,descriptor+roster
mary salas,Mary Salas,D,wikipedia categories
mary sue terry,Mary Sue Terry,D,wikipedia categories
maryland democratic party,Maryland Democratic Party,D,wikipedia categories
maryland republican party,Maryland Republican Party,R,wikipedia categories
massachusetts democratic party,Massachusetts Democratic Party,D,wikipedia categories
massachusetts republican party,Massachusetts Republican Party,R,wikipedia categories
matt bradford,Matt Bradford,D,wikipedia categories
matt cartwright,Matt Cartwright,D,descriptor+roster
matt claman,Matt Claman,D,wikipedia categories
matt dolan,Matt Dolan,R,wikipedia categories
matt dollar,Matt Dollar,R,wikipedia categories
matt dubnik,Matt Dubnik,R,wikipedia categories
matt e baker,Matt Baker,R,wikipedia categories
matt gaetz,Matt Gaetz,R,descriptor+roster
matt gaetz florida politician,Matt Gaetz,R,descriptor+roster
matt hall politician,Matt Hall,R,wikipedia categories
matt hatchett,Matt Hatchett,R,wikipedia categories
matt huffman,Matt Huffman,R,wikipedia categories
matt lesser,Matt Lesser,D,wikipedia categories
matt macpherson,Matt MacPherson,R,wikipedia categories
matt maddock,Matt Maddock,R,wikipedia categories
matt moonen,Matt Moonen,D,wikipedia categories
matt pinnell,Matt Pinnell,R,wikipedia categories
matt rosendale,Matt Rosendale,R,descriptor+roster
matt salmon,Matt Salmon,R,wikipedia categories
matt willhite,Matt Willhite,D,wikipedia categories
matt windschitl,Matt Windschitl,R,wikipedia categories
matthew bradford,Matthew Bradford,D,wikipedia categories
matthew dunlap,Matthew Dunlap,D,wikipedia categories
matthew shepherd,Matthew Shepherd,R,wikipedia categories
mattie hunter,Mattie Hunter,D,wikipedia categories
max abramson,Max Abramson,L,wikipedia categories
max baucus,Max Baucus,D,wikipedia categories
max burns,Max Burns,R,wikipedia categories
max cleland,Max Cleland,D,wikipedia categories
max miller politician,Max Miller,R,descriptor+roster
max rose,Max Rose,D,descriptor+roster
max wise,Max Wise,R,wikipedia categories
maxine dexter,Maxine Dexter,D,descriptor+roster
maxine waters,Maxine Waters,D,descriptor+roster
maxwell frost,Maxwell Frost,D,descriptor+roster
mazie hirono,Mazie Hirono,D,descriptor+roster
megan jones politician,Megan Jones,R,wikipedia categories
mel levine,Mel Levine,D,descriptor+roster
melanie stansbury,Melanie Stansbury,D,descriptor+roster
melissa agard,Melissa Agard,D,wikipedia categories
melissa hart politician,Melissa Hart,R,descriptor+roster
melissa hurtado,Melissa Hurtado,D,wikipedia categories
melissa lackey oremus,Melissa Lackey Oremus,R,wikipedia categories
melony griffith,Melony Griffith,D,wikipedia categories
melvin steinberg,Melvin Steinberg,D,wikipedia categories
merika coleman,Merika Coleman,D,wikipedia categories
mia costello,Mia Costello,R,wikipedia categories
mia gregerson,Mia Gregerson,D,wikipedia categories
micah caskey,Micah Caskey,R,wikipedia categories
michael a jackson politician,Michael A. Jackson,D,wikipedia categories
michael b carroll,Michael Carroll,D,wikipedia categories
michael baumgartner,Michael Baumgartner,R,descriptor+roster
michael benedetto,Michael Benedetto,D,wikipedia categories
michael bennet,Michael Bennet,D,descriptor+roster
michael bergan,Michael Bergan,R,wikipedia categories
michael bond american politician,Michael Bond,D,wikipedia categories
michael c burgess,Michael Burgess,R,descriptor+roster
michael caldwell,Michael Caldwell,R,wikipedia categories
michael cloud,Michael Cloud,R,descriptor+roster
michael coffey illinois politician,Michael Coffey,R,wikipedia categories
michael connelly illinois politician,Michael Connelly,R,wikipedia categories
michael cusick,Michael Cusick,D,wikipedia categories
michael d barnes,Michael Barnes,D,descriptor+roster
michael dembrow,Michael Dembrow,D,wikipedia categories
michael e carpenter,Michael E. Carpenter,D,wikipedia categories
michael gambrell,Michael Gambrell,R,wikipedia categories
michael gianaris,Michael Gianaris,D,wikipedia categories
michael gronstal,Michael Gronstal,D,wikipedia categories
michael guest politician,Michael Guest,R,descriptor+roster
michael hough politician,Michael Hough,R,wikipedia categories
michael j barrett,Michael J. Barrett,D,wikipedia categories
michael j fitzpatrick politician,Michael J. Fitzpatrick,R,wikipedia categories
michael j sheridan,Mike Sheridan,D,wikipedia categories
michael j skindell,Michael J. Skindell,D,wikipedia categories
michael mccaul,Michael McCaul,R,descriptor+roster
michael o brien ohio politician,Michael O'Brien,D,wikipedia categories
michael rodrigues politician,Michael Rodrigues,D,wikipedia categories
michael rulli,Michael Rulli,R,descriptor+roster
michael schlossberg,Michael Schlossberg,D,wikipedia categories
michael schraa,Michael Schraa,R,wikipedia categories
michael sheehy,Michael Sheehy,D,wikipedia categories
michael steele,Michael Steele,R,wikipedia categories
michael tannousis,Michael Tannousis,R,wikipedia categories
michael waltz,Michael Waltz,R,descriptor+roster
michael webber politician,Michael Webber,R,wikipedia categories
michaelle c solages,Michaelle Solages,D,wikipedia categories
micheal bergstrom,Micheal Bergstrom,R,wikipedia categories
michele bachmann,Michele Bachmann,R,wikipedia categories
michele lepore hagan,Michele Lepore-Hagan,D,wikipedia categories
michelle fischbach,Michelle Fischbach,R,descriptor+roster
michelle lujan grisham,Michelle Lujan Grisham,D,wikipedia categories
michelle salzman,Michelle Salzman,R,wikipedia categories
michigan democratic party,Michigan Democratic Party,D,wikipedia categories
mick mulvaney,Mick Mulvaney,R,wikipedia categories
mickey dollens,Mickey Dollens,D,wikipedia categories
mickey michaux,Mickey Michaux,D,wikipedia categories
miguel romero,Miguel Romero,D,wikipedia categories
mike beebe,Mike Beebe,D,wikipedia categories
mike bishop politician,Mike Bishop,R,descriptor+roster
mike bost,Mike Bost,R,descriptor+roster
mike bouchard,Mike Bouchard,R,wikipedia categories
mike braun,Mike Braun,R,descriptor+roster
mike burns south carolina politician,Mike Burns,R,wikipedia categories
mike carey politician,Mike Carey,R,descriptor+roster
mike cheokas,Mike Cheokas,R,wikipedia categories
mike coffman,Mike Coffman,R,descriptor+roster
mike collins politician,Mike Collins,R,descriptor+roster
mike conaway,Mike Conaway,R,descriptor+roster
mike crane,Mike Crane,R,wikipedia categories
mike crapo,Mike Crapo,R,descriptor+roster
mike dewine,Mike DeWine,R,wikipedia categories
mike doyle american politician,Mike Doyle,D,descriptor+roster
mike dugan politician,Mike Dugan,R,wikipedia categories
mike dunleavy politician,Mike Dunleavy,R,wikipedia categories
mike ezell,Mike Ezell,R,descriptor+roster
mike flood politician,Mike Flood,R,descriptor+roster
mike foley nebraska politician,Mike Foley,R,wikipedia categories
mike frerichs,Mike Frerichs,D,wikipedia categories
mike garcia politician,Mike Garcia,R,descriptor+roster
mike giallombardo,Mike Giallombardo,R,wikipedia categories
mike gronstal,Mike Gronstal,D,wikipedia categories
mike haridopolos,Mike Haridopolos,R,descriptor+roster
mike hilgers,Mike Hilgers,R,wikipedia categories
mike huckabee,Mike Huckabee,R,wikipedia categories
mike johnson,Mike Johnson,R,descriptor+roster
mike johnston colorado politician,Mike Johnston,D,wikipedia categories
mike jopek,Mike Jopek,D,wikipedia categories
mike kelly pennsylvania politician,Mike Kelly,R,descriptor+roster
mike kuglitsch,Mike Kuglitsch,R,wikipedia categories
mike lawler,Mike Lawler,R,descriptor+roster
mike lee,Mike Lee,R,descriptor+roster
mike levin,Mike Levin,D,descriptor+roster
mike mckell,Mike McKell,R,wikipedia categories
mike michaud,Mike Michaud,D,descriptor+roster
mike osburn,Mike Osburn,R,wikipedia categories
mike padden,Mike Padden,R,wikipedia categories
mike pence,Mike Pence,R,wikipedia categories
mike petersen utah politician,Mike Petersen,R,wikipedia categories
mike pompeo,Mike Pompeo,R,wikipedia categories
mike quigley,Mike Quigley,D,descriptor+roster
mike rogers alabama politician,Mike Rogers,R,descriptor+roster
mike rounds,Mike Rounds,R,descriptor+roster
mike rush,Mike Rush,D,wikipedia categories
mike schultz politician,Mike Schultz,R,wikipedia categories
mike sexton politician,Mike Sexton,R,wikipedia categories
mike simpson,Mike Simpson,R,descriptor+roster
mike sturla,Mike Sturla,D,wikipedia categories
mike sullivan wyoming politician,Mike Sullivan,D,wikipedia categories
mike thompson,Mike Thompson,D,descriptor+roster
mike turner,Mike Turner,R,descriptor+roster
mike wilson kentucky politician,Mike Wilson,R,wikipedia categories
mikie sherrill,Mikie Sherrill,D,descriptor+roster
mila jasey,Mila Jasey,D,wikipedia categories
minnesota democratic farmer labor party,Minnesota Democratic–Farmer–Labor Party,D,wikipedia categories
minnesota republican party,Minnesota Republican Party,R,wikipedia categories
mitch landrieu,Mitch Landrieu,D,wikipedia categories
mitch mcconnell,Mitch McConnell,R,descriptor+roster
mitchell s setzer,Mitchell S. Setzer,R,wikipedia categories
mitt romney,Mitt Romney,R,descriptor+roster
mo brooks,Mo Brooks,R,descriptor+roster
mohamud noor,Mohamud Noor,D,wikipedia categories
molly howard,Molly Howard,D,wikipedia categories
mondaire jones,Mondaire Jones,D,descriptor+roster
monica de la cruz,Monica De La Cruz,R,descriptor+roster
montana libertarian party,Montana Libertarian Party,L,wikipedia categories
montana republican party,Montana Republican Party,R,wikipedia categories
morgan carroll,Morgan Carroll,D,wikipedia categories
morgan luttrell,Morgan Luttrell,R,descriptor+roster
morgan meyer,Morgan Meyer,R,wikipedia categories
morgan rielly politician,Morgan Rielly,D,wikipedia categories
murrell smith,Murrell Smith,R,wikipedia categories
murrell smith jr,Murrell Smith,R,wikipedia categories
myra crownover,Myra Crownover,R,wikipedia categories
myrth york,Myrth York,D,wikipedia categories
nadine thomas,Nadine Thomas,D,wikipedia categories
nan orrock,Nan Orrock,D,wikipedia categories
nancy j king,Nancy J. King,D,wikipedia categories
nancy mace,Nancy Mace,R,descriptor+roster
nancy munoz,Nancy Munoz,R,wikipedia categories
nancy pelosi,Nancy Pelosi,D,descriptor+roster
nanette barragan,Nanette Barragán,D,descriptor+roster
napoleon harris,Napoleon Harris,D,wikipedia categories
natalie higgins,Natalie Higgins,D,wikipedia categories
natalie manley,Natalie Manley,D,wikipedia categories
nate willems,Nate Willems,D,wikipedia categories
nathan ballentine,Nathan Ballentine,R,wikipedia categories
nathan biah,Nathan Biah,D,wikipedia categories
nathan deal,Nathan Deal,R,"wikipedia categories (majority {'D': 1, 'R': 3})"
nathaniel ledbetter,Nathaniel Ledbetter,R,wikipedia categories
nathaniel moran,Nathaniel Moran,R,descriptor+roster
national republican senatorial committee,National Republican Senatorial Committee,R,wikipedia categories
neal collins politician,Neal Collins,R,wikipedia categories
neal dunn,Neal Dunn,R,descriptor+roster
nebraska democratic party,Nebraska Democratic Party,D,wikipedia categories
nebraska republican party,Nebraska Republican Party,R,wikipedia categories
ned lamont,Ned Lamont,D,wikipedia categories
neil abercrombie,Neil Abercrombie,D,wikipedia categories
neil breslin,Neil Breslin,D,wikipedia categories
nellie pou,Nellie Pou,D,descriptor+roster
nelson wolff,Nelson Wolff,D,wikipedia categories
new jersey libertarian party,New Jersey Libertarian Party,L,wikipedia categories
new york republican state committee,New York Republican State Committee,R,wikipedia categories
newt gingrich,Newt Gingrich,R,descriptor+roster
nic kipke,Nic Kipke,R,wikipedia categories
nicholas boldyga,Nicholas Boldyga,R,wikipedia categories
nicholas germana,Nicholas Germana,D,wikipedia categories
nick celebrezze,Nick Celebrezze,D,wikipedia categories
nick collins politician,Nick Collins,D,wikipedia categories
nick lalota,Nick LaLota,R,descriptor+roster
nick langworthy,Nick Langworthy,R,descriptor+roster
nick milroy,Nick Milroy,D,wikipedia categories
nickie antonio,Nickie Antonio,D,wikipedia categories
nicole klarides ditria,Nicole Klarides-Ditria,R,wikipedia categories
nicole la ha,Nicole La Ha,R,wikipedia categories
nicole malliotakis,Nicole Malliotakis,R,descriptor+roster
nikema williams,Nikema Williams,D,descriptor+roster
nikiya harris dodd,Nikiya Harris Dodd,D,wikipedia categories
nikki budzinski,Nikki Budzinski,D,descriptor+roster
nikki haley,Nikki Haley,R,wikipedia categories
nily rozic,Nily Rozic,D,wikipedia categories
nino vitale,Nino Vitale,R,wikipedia categories
nita lowey,Nita Lowey,D,descriptor+roster
norine hammond,Norine Hammond,R,wikipedia categories
norlin mommsen,Norlin Mommsen,R,wikipedia categories
norm coleman,Norm Coleman,R,descriptor+roster
norm dicks,Norm Dicks,D,wikipedia categories
norm thurston,Norm Thurston,R,wikipedia categories
norma torres,Norma Torres,D,descriptor+roster
north dakota democratic nonpartisan league,North Dakota Democratic–Nonpartisan League,D,wikipedia categories
north dakota republican party,North Dakota Republican Party,R,wikipedia categories
nydia velazquez,Nydia Velázquez,D,descriptor+roster
obie patterson,Obie Patterson,D,wikipedia categories
ohio democratic party,Democratic,D,wikipedia categories
ohio republican party,Ohio Republican Party,R,wikipedia categories
oklahoma republican party,Oklahoma Republican Party,R,wikipedia categories
pacific green party,Pacific Green Party,G,wikipedia categories
page walley,Page Walley,R,wikipedia categories
pam delissio,Pam DeLissio,D,wikipedia categories
pam faris,Pam Faris,D,wikipedia categories
pam helming,Pam Helming,R,wikipedia categories
pam jochum,Pam Jochum,D,wikipedia categories
parker griffith,Parker Griffith,D,descriptor+roster
parris glendening,Parris Glendening,D,wikipedia categories
pat fahy,Pat Fahy,D,wikipedia categories
pat fallon,Pat Fallon,R,descriptor+roster
pat gardner,Pat Gardner,D,wikipedia categories
pat grassley,Pat Grassley,R,wikipedia categories
pat harkins,Pat Harkins,D,wikipedia categories
pat harrigan,Pat Harrigan,R,descriptor+roster
pat jehlen,Pat Jehlen,D,wikipedia categories
pat mcdonough,Pat McDonough,R,wikipedia categories
pat quinn politician,Pat Quinn,D,wikipedia categories
pat roberts,Pat Roberts,R,descriptor+roster
pat ryan politician,Pat Ryan,D,descriptor+roster
pat toomey,Pat Toomey,R,descriptor+roster
patricia fahy,Patricia Fahy,D,wikipedia categories
patricia haddad,Patricia Haddad,D,wikipedia categories
patricia todd,Patricia Todd,D,wikipedia categories
patrick connick,Patrick Connick,R,wikipedia categories
patrick haddon,Patrick Haddon,R,wikipedia categories
patrick harkins,Patrick Harkins,D,wikipedia categories
patrick j ballantine,Patrick J. Ballantine,R,wikipedia categories
patrick j kennedy,Patrick J. Kennedy,D,descriptor+roster
patrick leahy,Patrick Leahy,D,descriptor+roster
patrick morrisey,Patrick Morrisey,R,wikipedia categories
patrick murphy florida politician,Patrick Murphy,D,descriptor+roster
patrick murphy pennsylvania politician,Patrick Murphy,D,wikipedia categories
patty judge,Patty Judge,D,wikipedia categories
patty murray,Patty Murray,D,descriptor+roster
paul bailey politician,Paul Bailey,R,wikipedia categories
paul broun,Paul Broun,R,wikipedia categories
paul e patton,Paul E. Patton,D,wikipedia categories
paul frost,Paul Frost,R,wikipedia categories
paul g pinsky,Paul G. Pinsky,D,wikipedia categories
paul gosar,Paul Gosar,R,descriptor+roster
paul krizek,Paul Krizek,D,wikipedia categories
paul lee politician,Paul Lee,R,wikipedia categories
paul lepage,Paul LePage,R,wikipedia categories
paul lundeen,Paul Lundeen,R,wikipedia categories
paul pate,Paul Pate,R,wikipedia categories
paul ryan,Paul Ryan,R,descriptor+roster
paul sarlo,Paul Sarlo,D,wikipedia categories
paul schimpf,Paul Schimpf,D,wikipedia categories
paul schmid,Paul Schmid,D,wikipedia categories
paul tittl,Paul Tittl,R,wikipedia categories
paul tonko,Paul Tonko,D,descriptor+roster
paula hicks hudson,Paula Hicks-Hudson,D,wikipedia categories
paula rawl calhoon,Paula Calhoon,R,wikipedia categories
paula stark,Paula Stark,R,wikipedia categories
pennsylvania democratic party,Pennsylvania Democratic Party,D,wikipedia categories
pennsylvania republican party,Pennsylvania Republican Party,R,wikipedia categories
pete aguilar,Pete Aguilar,D,descriptor+roster
pete kelly alaska politician,Pete Kelly,R,wikipedia categories
pete olson,Pete Olson,R,descriptor+roster
pete ricketts,Pete Ricketts,R,descriptor+roster
pete sessions,Pete Sessions,R,descriptor+roster
pete stauber,Pete Stauber,R,descriptor+roster
peter cianchette,Peter Cianchette,R,wikipedia categories
peter defazio,Peter DeFazio,D,descriptor+roster
peter deutsch,Peter Deutsch,D,descriptor+roster
peter durant,Peter Durant,R,wikipedia categories
peter franchot,Peter Franchot,D,wikipedia categories
peter j abbate jr,Peter J. Abbate Jr.,D,wikipedia categories
peter kostmayer,Peter Kostmayer,D,descriptor+roster
peter koutoujian,Peter Koutoujian,D,wikipedia categories
peter lucido,Peter Lucido,R,wikipedia categories
peter oberacker,Peter Oberacker,R,wikipedia categories
peter schweyer,Peter Schweyer,D,wikipedia categories
peter shumlin,Peter Shumlin,D,wikipedia categories
peter t king,Peter T. King,R,descriptor+roster
peter weinstein,Peter Weinstein,D,wikipedia categories
peter welch,Peter Welch,D,descriptor+roster
phil berger politician,Phil Berger,R,wikipedia categories
phil boyle,Phil Boyle,R,wikipedia categories
phil bredesen,Phil Bredesen,D,wikipedia categories
phil gramm,Phil Gramm,R,descriptor+roster
phil hare,Phil Hare,D,descriptor+roster
phil jensen,Phil Jensen,R,wikipedia categories
phil murphy,Phil Murphy,D,wikipedia categories
phil palmesano,Phil Palmesano,R,wikipedia categories
phil ramos,Phil Ramos,D,wikipedia categories
phil scott,Phil Scott,R,wikipedia categories
philip griffitts,Philip Griffitts,R,wikipedia categories
philip jones american politician,Philip Jones,D,wikipedia categories
philip ramos,Philip Ramos,D,wikipedia categories
philip wise,Philip Wise,D,wikipedia categories
phillip chen,Phillip Chen,R,wikipedia categories
phillip devillier,Phillip DeVillier,R,wikipedia categories
phyllis thede,Phyllis Thede,D,wikipedia categories
pramila jayapal,Pramila Jayapal,D,descriptor+roster
quico canseco,Quico Canseco,R,descriptor+roster
rachel plakon,Rachel Plakon,R,wikipedia categories
rafael anchia,Rafael Anchía,D,wikipedia categories
raja krishnamoorthi,Raja Krishnamoorthi,D,descriptor+roster
ralph hudgens,Ralph Hudgens,R,wikipedia categories
ralph nader,Ralph Nader,G,wikipedia categories
ralph norman,Ralph Norman,R,descriptor+roster
ralph northam,Ralph Northam,D,wikipedia categories
ralph poppell,Ralph Poppell,R,wikipedia categories
rand paul,Rand Paul,R,descriptor+roster
randall shedd,Randall Shedd,R,wikipedia categories
randy feenstra,Randy Feenstra,R,descriptor+roster
randy ligon,Randy Ligon,R,wikipedia categories
randy mcnally,Randy McNally,R,wikipedia categories
randy nix,Randy Nix,R,wikipedia categories
randy price,Randy Price,R,wikipedia categories
randy weber,Randy Weber,R,descriptor+roster
raphael warnock,Raphael Warnock,D,descriptor+roster
rashida tlaib,Rashida Tlaib,D,descriptor+roster
raul grijalva,Raúl Grijalva,D,descriptor+roster
raul ruiz politician,Raul Ruiz,D,descriptor+roster
raumesh akbari,Raumesh Akbari,D,wikipedia categories
ray miller ohio legislator,Ray Miller,D,wikipedia categories
raymond poe,Raymond Poe,R,wikipedia categories
reed gusciora,Reed Gusciora,D,wikipedia categories
reed ingram,Reed Ingram,R,wikipedia categories
reginald murdock,Reginald Murdock,D,wikipedia categories
rene garcia politician,René García,R,wikipedia categories
republican jewish coalition,Republican Jewish Coalition,R,wikipedia categories
republican main street partnership,Republican Main Street Partnership,R,wikipedia categories
republican national committee,Republican National Committee,R,wikipedia categories
republican national committeeman,Republican National Committeeman,R,wikipedia categories
republican party of iowa,Republican Party of Iowa,R,wikipedia categories
republican party of louisiana,Republican Party of Louisiana,R,wikipedia categories
republican party of minnesota,Republican Party of Minnesota,R,wikipedia categories
republican party united states,Republican,R,wikipedia categories
republican state committee of delaware,Delaware Republican Party,R,wikipedia categories
rex damschroder,Rex Damschroder,R,wikipedia categories
rex shipp,Rex Shipp,R,wikipedia categories
rhine mclin,Rhine McLin,D,wikipedia categories
rhode island democratic party,Rhode Island Democratic Party,D,wikipedia categories
rhode island republican party,Rhode Island Republican Party,R,wikipedia categories
rhonda baker,Rhonda Baker,R,wikipedia categories
rich mccormick,Rich McCormick,R,descriptor+roster
rich wingo,Rich Wingo,R,wikipedia categories
richard blumenthal,Richard Blumenthal,D,descriptor+roster
richard burr,Richard Burr,R,descriptor+roster
richard codey,Richard Codey,D,wikipedia categories
richard e myers,Richard Myers,D,wikipedia categories
richard hudson american politician,Richard Hudson,R,descriptor+roster
richard n gottfried,Richard Gottfried,D,wikipedia categories
richard neal,Richard Neal,D,descriptor+roster
richard shelby,Richard Shelby,R,"descriptor+roster (switch, dated)"
richard t moore,Richard T. Moore,D,wikipedia categories
richard womack,Richard Womack,R,wikipedia categories
richie yow,Richie Yow,R,wikipedia categories
rick allen politician,Rick Allen,R,descriptor+roster
rick crawford politician,Rick Crawford,R,descriptor+roster
rick jasperse,Rick Jasperse,R,wikipedia categories
rick larsen,Rick Larsen,D,descriptor+roster
rick olson iowa politician,Rick Olson,D,wikipedia categories
rick santorum,Rick Santorum,R,descriptor+roster
rick scott,Rick Scott,R,descriptor+roster
rick snyder,Rick Snyder,R,wikipedia categories
rick w allen,Rick W. Allen,R,descriptor+roster
rick williams georgia politician,Rick Williams,R,wikipedia categories
rick zbur,Rick Zbur,D,wikipedia categories
riley moore,Riley Moore,R,descriptor+roster
rita heard days,Rita Heard Days,D,wikipedia categories
rita mayfield,Rita Mayfield,D,wikipedia categories
ritchie torres,Ritchie Torres,D,descriptor+roster
ro foege,Ro Foege,D,wikipedia categories
ro khanna,Ro Khanna,D,descriptor+roster
rob bishop,Rob Bishop,R,wikipedia categories
rob bresnahan,Rob Bresnahan,R,descriptor+roster
rob hogg,Rob Hogg,D,wikipedia categories
rob mccolley,Rob McColley,R,wikipedia categories
rob menendez,Rob Menendez,D,descriptor+roster
rob nosse,Rob Nosse,D,wikipedia categories
rob portman,Rob Portman,R,descriptor+roster
rob simmons,Rob Simmons,R,descriptor+roster
rob swearingen,Rob Swearingen,R,wikipedia categories
rob wittman,Rob Wittman,R,descriptor+roster
robbie brackett,Robbie Brackett,R,wikipedia categories
robert a rivas,Robert A. Rivas,D,wikipedia categories
robert aderholt,Robert Aderholt,R,descriptor+roster
robert auth,Robert Auth,R,wikipedia categories
robert bacon iowa politician,Robert Bacon,R,wikipedia categories
robert cowles,Robert Cowles,R,wikipedia categories
robert deleo politician,Bob DeLeo,D,wikipedia categories
robert dickey american politician,Robert Dickey,R,wikipedia categories
robert dvorsky,Robert Dvorsky,D,wikipedia categories
robert f kennedy jr,Robert F. Kennedy Jr.,I,wikipedia categories
robert garcia california congressman,Robert Garcia,D,descriptor+roster
robert garcia california politician,Robert Garcia,D,descriptor+roster
robert jackson new york politician,Robert Jackson,D,wikipedia categories
robert list,Robert List,R,wikipedia categories
robert martwick,Robert Martwick,D,wikipedia categories
robert matzie,Robert Matzie,D,wikipedia categories
robert nichols politician,Robert Nichols,R,wikipedia categories
robert phillips politician,Robert Phillips,D,wikipedia categories
robert q williams,Robert Q. Williams,D,wikipedia categories
robert rita,Bob Rita,D,wikipedia categories
robert rodriguez politician,Robert Rodriguez,D,wikipedia categories
robert sampson politician,Rob Sampson,R,wikipedia categories
robert smith walker,Robert Smith Walker,R,descriptor+roster
robert starr,Robert Starr,D,wikipedia categories
robert torricelli,Robert Torricelli,D,descriptor+roster
robert w mcknight,Robert McKnight,D,wikipedia categories
robert wexler,Robert Wexler,D,descriptor+roster
robert wirch,Robert Wirch,D,wikipedia categories
robin comey,Robin Comey,D,wikipedia categories
robin kelly,Robin Kelly,D,descriptor+roster
robin l webb,Robin L. Webb,D,"wikipedia categories (majority {'D': 2, 'R': 1})"
robin titus,Robin Titus,R,wikipedia categories
robin vogt,Robin Vogt,D,wikipedia categories
robin vos,Robin Vos,R,wikipedia categories
roby smith,Roby Smith,R,wikipedia categories
robyn gabel,Robyn Gabel,D,wikipedia categories
rod blagojevich,Rod Blagojevich,D,wikipedia categories
rod smith politician,Rod Smith,D,wikipedia categories
rodney davis politician,Rodney Davis,R,descriptor+roster
rodney ellis,Rodney Ellis,D,wikipedia categories
rodney frelinghuysen,Rodney Frelinghuysen,R,descriptor+roster
roger hauck,Roger Hauck,R,wikipedia categories
roger marshall,Roger Marshall,R,descriptor+roster
roger thomas iowa politician,Roger Thomas,D,wikipedia categories
roger thompson politician,Roger Thompson,R,wikipedia categories
roger wicker,Roger Wicker,R,descriptor+roster
roger williams texas politician,Roger Williams,R,descriptor+roster
roland burris,Roland Burris,D,wikipedia categories
roland pederson,Roland Pederson,R,wikipedia categories
romaine quinn,Romaine Quinn,R,wikipedia categories
ron barber,Ron Barber,D,descriptor+roster
ron estes,Ron Estes,R,descriptor+roster
ron johnson,Ron Johnson,R,descriptor+roster
ron kind,Ron Kind,D,descriptor+roster
ron klein,Ron Klein,D,descriptor+roster
ron maag,Ron Maag,R,wikipedia categories
ron mariano,Ron Mariano,D,wikipedia categories
ron micheli,Ron Micheli,R,wikipedia categories
ron paul,Ron Paul,R,descriptor+roster
ron silver politician,Ron Silver,D,wikipedia categories
ron wyden,Ron Wyden,D,descriptor+roster
ronald n young,Ron Young,D,wikipedia categories
ronda storms,Ronda Storms,R,wikipedia categories
ronny jackson,Ronny Jackson,R,descriptor+roster
rosa delauro,Rosa DeLauro,D,descriptor+roster
rosalyn henderson myers,Rosalyn Henderson-Myers,D,wikipedia categories
rosie berger,Rosie Berger,R,wikipedia categories
ross paustian,Ross Paustian,R,wikipedia categories
ross turner,Ross Turner,R,wikipedia categories
roy barnes,Roy Barnes,D,wikipedia categories
roy blunt,Roy Blunt,R,descriptor+roster
roy cooper,Roy Cooper,D,wikipedia categories
roy dyson,Roy Dyson,D,descriptor+roster
roy romer,Roy Romer,D,wikipedia categories
royce west,Royce West,D,wikipedia categories
ruben diaz jr,Ruben Diaz Jr.,D,wikipedia categories
ruben gallego,Ruben Gallego,D,descriptor+roster
ruben hinojosa,Rubén Hinojosa,D,descriptor+roster
rudy boschwitz,Rudy Boschwitz,R,descriptor+roster
rudy yakym,Rudy Yakym,R,descriptor+roster
rush holt jr,Rush Holt Jr.,D,descriptor+roster
russ fulcher,Russ Fulcher,R,descriptor+roster
russell fry,Russell Fry,R,descriptor+roster
russell holmes,Russell Holmes,D,wikipedia categories
russell prescott,Russell Prescott,R,wikipedia categories
rusty paul,Rusty Paul,R,wikipedia categories
ruth ann gaines,Ruth Ann Gaines,D,wikipedia categories
ruth balser,Ruth Balser,D,wikipedia categories
ruth ward,Ruth Ward,R,wikipedia categories
ryan fecteau,Ryan Fecteau,D,wikipedia categories
ryan mackenzie,Ryan Mackenzie,R,descriptor+roster
ryan mishler,Ryan Mishler,R,wikipedia categories
ryan zinke,Ryan Zinke,R,descriptor+roster
sabrina cervantes,Sabrina Cervantes,D,wikipedia categories
