race_id,person,bioguide,party,is_incumbent,event_type,event_date,known_by,date_basis,incumbent_on_ballot_after,source_url,notes,_confidence,_left_censored,_right_censored,_resolution_days,_days_present,_gaps,_last_seen,_pages,_section,_race_why,_evidence,_flag,_suggested_action,_needs_human
HOU_AZ_01_2026,,,,,retiring,,2025-10-12,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_election_ratings,,high,,yes,4,139,0,2026-08-23,2026 United States House of Representatives election ratings,Election ratings > Latest published ratings for competitive seats; Party listings > Republican-held seats,district link,# Arizona 1: Open seat,seat_level_confirmation,not an event — the ratings page marking the seat open AFTER the incumbent announced. Useful only as a cross-check on incumbent_on_ballot_after,yes
HOU_MA_06_2026,Seth Moulton,,,,seeking_other_office,,2025-10-15,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,222,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Democratic,ushr template,# MA-6: Seth Moulton is retiring to run for the U.S. Senate.,,,
HOU_IL_04_2026,Chuy Garcia,,,,retiring,,2025-11-03,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,203,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Democratic,ushr template,# IL-4: Chuy Garcia is retiring.,,,
HOU_ME_02_2026,Jared Golden,,,,retiring,,2025-11-05,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_election_ratings; https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,241,0,2026-08-23,2026 United States House of Representatives election ratings; 2026 United States House of Representatives elections,Election ratings > Latest published ratings for competitive seats; Retirements > Democratic,ushr template,! ME-2 | Jared | Golden (retiring) | data-sort-value=-50.3 | 50.3% D,,,
HOU_CA_11_2026,Nancy Pelosi,,,,retiring,,2025-11-06,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,200,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Democratic,ushr template,# CA-11: Nancy Pelosi is retiring.,,,
HOU_ME_02_2026,,,,,retiring,,2025-11-07,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_election_ratings,,high,,yes,1,125,0,2026-08-23,2026 United States House of Representatives election ratings,Election ratings > Democratic-held seats; Party listings > Democratic-held seats,district link,# Maine 2: Open seat,seat_level_confirmation,not an event — the ratings page marking the seat open AFTER the incumbent announced. Useful only as a cross-check on incumbent_on_ballot_after,yes
HOU_NY_21_2026,Elise Stefanik,,,,seeking_other_office,,2025-11-07,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,,1,42,0,2025-12-18,2026 United States House of Representatives elections,Retirements > Republican,ushr template,#NY-21: Elise Stefanik is retiring to run for governor of New York.,has_generic_twin,keep this row; its twin is the drop,
HOU_NJ_12_2026,Bonnie Watson Coleman,,,,retiring,,2025-11-10,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,196,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Democratic,ushr template,# NJ-12: Bonnie Watson Coleman is retiring.,,,
HOU_TX_19_2026,Jodey Arrington,,,,retiring,,2025-11-11,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,195,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Republican,ushr template,# TX-19: Jodey Arrington is retiring.,,,
HOU_NY_07_2026,Nydia Velázquez,,,,retiring,,2025-11-20,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,186,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Democratic,ushr template,# NY-7: Nydia Velázquez is retiring.,,,
